query_image_path,query_description,utm_east,utm_north,reference_1_path,reference_1_distance,reference_1_utm_east,reference_1_utm_north,reference_2_path,reference_2_distance,reference_2_utm_east,reference_2_utm_north,reference_3_path,reference_3_distance,reference_3_utm_east,reference_3_utm_north
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543030.55@4180984.98@10@S@37.775128@-122.51158@31760538811@@@@@@20161226@@.jpg,"Stepped concrete sidewalk, ""STOP"" painted on asphalt road, pedestrian crossing with white zebra stripes, red octagonal stop sign on a pole, multi-story buildings, multiple street light poles receding into the distance.",543030.55,4180984.98,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9746989756822586,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543102.49@4180346.93@10@S@37.76941@-122.510462@28026809684@@@@@@20160730@@.jpg,"A large, rectangular outdoor business sign with a thick, dark wooden frame and an overhead linear light fixture; the sign's light beige face features ""The Beach Chalet"" in large, stylized, 3D letters with dark blue outlines and golden-tan faces at the top; below this, a vertical list of black bullet points reads ""RESTAURANT"", ""BREWERY"", ""FULL BAR"", ""OUTDOOR DINING""; further down, a black silhouette graphic of a windmill stands on a green undulating hill; at the bottom, ""Park Chalet"" is displayed in prominent letters, with ""GARDEN RESTAURANT"" in smaller text underneath.",543102.49,4180346.93,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9734172150492668,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543102.49@4180346.93@10@S@37.76941@-122.510462@28643915855@@@@@@20160730@@.jpg,"Dark paved ground with white dashed lines and dry shrubs on the left, a light-colored two-story building with a lower floor featuring six light-colored columns and five dark-framed arched entrances/windows alternating from left to right, and an upper floor with a continuous band of multiple rectangular dark-framed windows, topped by a dark flat roof, transitioning to a raised landscaped area with shrubs and dark paved ground with white dashed and solid lines on the right.",543102.49,4180346.93,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9743486754596233,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543339.73@4177706.64@10@S@37.745626@-122.508085@51701256013@@@@@@20211124@@.jpg,"Urban coastal road scene, from left: raised dirt median with reddish ground cover, solid yellow line on asphalt road, distant low-rise buildings including a prominent yellow-beige structure, dark utility pole, white crosswalk markings on asphalt road, dashed white lane lines, left-center traffic light pole with angled crossarm, central traffic light pole with two horizontal crossarms and two unreadable street signs, right-center traffic light pole with a single crossarm and one unreadable street sign, raised curb with a large mound of dried yellowish-brown grass, and a light-colored multi-bar bridge-style railing on the far right.",543339.73,4177706.64,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9693162981420755,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543454.25@4177257.89@10@S@37.741626@-122.506739@13887092084@@@@@@20140416@@.jpg,"Pole with white ONE WAY sign (pointing right) and red DO NOT ENTER sign, light-colored building featuring pilasters/columns and a prominent cornice, large spiky dark green plant, curved metal bicycle rack, grey concrete sidewalk, asphalt road with a white perpendicular crosswalk line, circular manhole cover, white parallel lane line on the road, grassy median with a curved concrete curb, tall streetlight pole with a lamp in the left part of the median, another tall streetlight pole with a lamp further right in the median, a third tall streetlight pole with an attached traffic light and a street sign, a distant fourth streetlight pole with a lamp, grassy embankment, asphalt road with a long white line on the far right.",543454.25,4177257.89,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9727176781743765,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543502.15@4176846.41@10@S@37.738021@-122.506302@25906197391@@@@@@20160323@@.jpg,"Red wooden multi-pane bay window with railing, red curved tile roof with green eaves and a central skylight, brick chimney, vertical metal downspout on a red brick wall, red brick wall with a curved red tile parapet.",543502.15,4176846.41,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9466724023222923,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543582.99@4177272.66@10@S@37.741729@-122.505478@8502583046@@@@@@20130224@@.jpg,"Streetlight pole, rectangular ""GREAT HIGHWAY LIQUORS GROCERY"" sign, blue ""THE Riptide COCKTAILS"" sign with white wave pattern at the bottom, neon martini glass sign above the ""Riptide"" sign, building facade with a vertical structural beam on the right.",543582.99,4177272.66,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9794111959636211,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543583.15@4177257.69@10@S@37.741735@-122.505364@5608751958@@@@@@20110411@@.jpg,"Row of distant urban buildings, streetlights, street parking area, tall street lamp, projecting business sign with white neon martini glass outline atop a light blue rectangular sign displaying wavy patterns and the word ""GROCERY"", dark building facade with an awning, bright green-yellow illuminated building entrance, partially visible blue neon sign on building.",543583.15,4177257.69,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9824089910835028,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543596.39@4181016.80@10@S@37.775361@-122.504923@27963036044@@@@@@20160727@@.jpg,"Large wooden utility pole in foreground, multi-story building with dark lower facade and white-framed windows, sidewalk with yellow tactile paving strips, street, small bushy tree on sidewalk, series of wooden utility poles with dense overhead wires, decorative street sign ""BALBOA 700-"" and ""44TH AVE"" street sign, tall utility pole with a large junction box, uphill street with distant buildings.",543596.39,4181016.8,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.983616316691041,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543596.59@4177266.41@10@S@37.741744@-122.505131@51878672736@@@@@@20220213@@.jpg,"Street light pole with power lines, Brother's Pizza yellow sign with (415) 753-9004 Free Delivery on a light-colored building, adjacent building labeled 'Occidental Power', Great Highway Liquors Grocery yellow sign, Great Highway Market Liquor Deli Sandwiches sign with naturalistic murals on an orange/ochre building featuring vertical roofline elements and ground-level windows displaying neon signs including a green oval and Bud Light, The Riptide Cocktails blue sign with wave pattern on a dark-colored building with red-lit recessed doorways, railway tracks spanning the foreground.",543596.59,4177266.41,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9724994767457247,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543679.06@4176649.63@10@S@37.736055@-122.504227@10397376484@@@@@@20131021@@.jpg,"A multi-paned rectangular window on the lower left of a building, a vertical, rounded rectangular ""OCEAN PARK MOTEL KITCHENS HOT TUB NO VACANCY"" sign, a multi-story building with a small circular window and a large multi-paned round window on its upper floor, two rectangular windows with white frames on its lower floor (one with interior horizontal blinds), and a paved street with low landscaping in the foreground.",543679.06,4176649.63,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9807986505329609,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543682.74@4176671.39@10@S@37.736272@-122.504242@11647240873@@@@@@20131230@@.jpg,"Faint power lines in upper left, large rounded rectangular red neon sign, neon text ""OCEAN PARK MOTEL"", neon text ""KITCHENS"", neon text ""HOT TUB"", neon text ""NO VACANCY"", red-toned building facade on the right, round window or architectural detail on upper right building, rectangular window frame on lower right building, dark horizontal ledge/beam on the building, small scattered lights in the lower right background.",543682.74,4176671.39,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.983685839921236,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543684.40@4176706.24@10@S@37.736565@-122.504261@21235149283@@@@@@20151001@@.jpg,"Corner of a light-colored building with visible windows, dense evergreen shrubbery, gridded concrete sidewalk, vertical rectangular neon sign with rounded corners displaying ""OCEAN PARK MOTEL,"" ""KITCHENS HOT TUB,"" and ""NO VACANCY,"" paved street, multiple utility poles with overhead lines, streetlights in the distance.",543684.4,4176706.24,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9885877454653382,543256.96,4178906.7,,,,,,,,
C:\Users\danba\Documents\VPR_datasets\SF_XL\queries_night\@0543686.41@4176676.07@10@S@37.736272@-122.504242@4706727110@@@@@@20100616@@.jpg,"Weathered light-colored building with multiple rectangular windows and a dense hedge along its base, supporting a prominent rounded rectangular sign frame displaying 'OCEAN PARK MOTEL KITCHENS HOT TUB NO VACANCY', adjacent to a wide concrete paver sidewalk, which runs parallel to a paved street with a tall utility pole, a streetlight, and a 'CALIFORNIA' street sign, with indistinct buildings in the background.",543686.41,4176676.07,/mnt/d/dan/git_projects/clip_baseline/images/@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.9945941101759672,543256.96,4178906.7,,,,,,,,
